County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bond,0,0,0,0,0,0,0,28,0,0,27,0,0,0,0
Boone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bureau,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,0,0,0,0,0,0,0,29,0,0,26,0,0,0,0
Coles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland,0,0,0,0,0,0,0,36,0,42,43,0,0,0,0
DeKalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeWitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,0,0,0,0,5778,0,0,0,0,0,0,0,0,0,0
DuPage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edwards,0,0,0,0,0,0,0,35,0,0,25,0,0,0,0
Effingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallatin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grundy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
Hancock,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Hardin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILLINOIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iroquois,0,0,0,0,0,0,0,19,0,0,36,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jo Daviess,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0
Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kankakee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaSalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Livingston,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
Macon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macoupin,2676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,172,0,0,0,148,0,0,0,0,0,0,0,0,0,0
Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McDonough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McHenry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McLean,0,0,2010,2010,0,0,0,0,0,0,0,0,0,0,0
Menard,0,0,0,0,0,57,45,0,0,0,0,0,0,0,0
Mercer,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0
Moultrie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ogle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piatt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pike,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0
Pope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulaski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randolph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saline,0,0,0,0,0,0,0,112,0,0,110,0,0,0,0
Sangamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schuyler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Clair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stark,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
Stephenson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suburban Cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tazewell,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermilion,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wabash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White,3820,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winnebago,0,0,0,0,377,0,0,0,0,0,18,0,0,0,0
Woodford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
