County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,68,39,53,52,47,47,25,60,48,26,48,26,45,32,106
Alexander,2,4,6,7,6,6,3,0,5,1,0,6,4,5,14
Bond,9,10,14,12,5,12,9,7,11,10,13,14,9,14,32
Boone,26,21,18,30,29,22,17,0,37,26,0,17,29,21,54
Brown,4,6,10,3,3,3,5,0,8,2,0,2,3,0,6
Bureau,22,21,23,31,16,16,11,0,33,20,0,28,38,34,56
Calhoun,0,4,6,4,3,3,1,0,2,3,0,2,4,7,14
Carroll,14,6,21,10,20,15,7,0,9,9,0,7,17,8,32
Cass,16,3,9,15,15,4,9,0,8,6,0,12,8,8,12
Champaign,70,51,83,63,62,57,59,0,78,85,0,120,113,108,222
Chicago,0,933,687,718,679,957,970,0,673,1261,0,1333,1842,1946,2638
Christian,25,23,25,26,27,12,24,0,26,23,0,13,25,32,66
Clark,12,20,16,12,11,12,18,0,13,7,0,9,9,8,20
Clay,15,9,11,16,15,7,6,0,8,6,0,4,7,6,26
Clinton,24,23,15,9,24,18,19,26,17,20,20,14,15,22,46
Coles,40,25,40,30,41,19,20,0,34,25,0,20,27,34,72
Cook,1703,1966,1588,1655,2529,1997,2138,0,1647,3255,0,2352,3044,3285,5514
Crawford,21,21,11,12,14,15,16,13,14,14,11,6,6,9,32
Cumberland,9,3,13,4,6,6,4,10,2,3,6,4,8,4,16
DeKalb,28,29,37,40,40,43,29,0,48,0,0,42,46,57,112
DeWitt,15,9,20,9,14,11,8,0,13,11,0,9,12,5,22
Douglas,13,10,10,14,14,16,8,0,8,12,0,13,11,8,36
DuPage,324,306,282,292,0,298,296,0,282,295,0,290,294,305,678
Edgar,19,12,20,15,14,24,13,0,18,11,0,10,14,13,26
Edwards,3,3,6,4,3,7,6,5,6,4,5,2,6,3,12
Effingham,18,23,24,21,27,21,18,0,17,13,0,14,14,29,56
Fayette,18,15,9,20,14,0,0,0,10,10,0,9,11,10,50
Ford,14,9,8,10,11,18,9,0,16,7,0,6,6,14,26
Franklin,38,26,50,41,48,23,29,0,49,32,0,32,30,28,90
Fulton,0,24,18,42,26,26,28,0,43,26,0,18,18,18,82
Gallatin,0,4,4,5,6,7,0,0,8,3,0,4,0,4,12
Greene,12,7,6,9,11,4,4,0,20,18,0,9,7,8,34
Grundy,10,17,13,28,17,23,23,0,0,15,0,30,39,25,68
Hamilton,9,6,2,5,7,7,4,10,9,4,8,4,3,5,20
Hancock,10,6,12,17,11,10,16,7,13,12,0,11,16,11,32
