County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,27,32,28,26,35,38,47,52,38,44,56,49,38,36,84
Alexander,3,2,6,1,4,2,6,0,7,12,0,6,6,5,8
Bond,11,5,17,7,10,6,15,15,9,5,8,7,11,16,20
Boone,17,11,16,10,25,14,21,0,23,29,0,24,24,19,60
Brown,2,0,2,3,0,5,4,0,1,2,0,2,5,7,6
Bureau,21,16,22,13,14,25,22,0,25,27,0,20,22,24,48
Calhoun,0,4,5,1,3,1,2,0,3,4,0,3,6,2,10
Carroll,10,10,15,4,10,11,9,0,7,13,0,9,10,11,22
Cass,5,9,3,6,15,6,8,0,1,10,0,12,11,5,22
Champaign,68,63,60,48,71,73,74,0,82,68,0,68,75,78,210
Chicago,0,747,672,639,797,819,796,0,1139,734,0,702,1369,1263,2328
Christian,20,11,16,14,22,18,23,0,25,23,0,38,22,18,40
Clark,11,12,13,7,10,9,9,0,10,7,0,12,11,10,12
Clay,10,8,13,11,9,7,4,0,9,11,0,7,8,11,20
Clinton,15,18,14,13,15,16,12,19,18,22,20,18,24,16,30
Coles,19,19,26,18,17,28,19,0,21,30,0,43,19,19,32
Cook,1420,1313,1281,1148,2113,1475,1490,0,2049,2636,0,1519,2714,2657,5156
Crawford,7,10,7,11,12,17,8,7,17,14,15,12,9,12,28
Cumberland,4,7,10,8,4,4,7,3,6,9,8,9,5,8,12
DeKalb,32,41,23,29,27,30,30,0,40,0,0,37,53,43,78
DeWitt,10,9,7,7,9,8,7,0,8,23,0,17,9,8,12
Douglas,11,4,8,8,13,9,7,0,11,17,0,13,6,12,36
DuPage,197,174,195,160,0,226,213,0,260,274,0,277,471,461,1010
Edgar,9,7,7,9,10,8,6,0,12,28,0,11,9,10,20
Edwards,5,6,4,3,9,4,4,1,6,5,1,8,4,11,4
Effingham,17,22,28,23,20,20,22,0,16,26,0,30,16,22,30
Fayette,4,11,12,11,12,0,0,0,14,15,0,18,17,13,16
Ford,13,4,5,5,9,7,10,0,7,15,0,13,18,11,22
Franklin,26,23,28,18,38,32,28,0,37,41,0,62,26,26,60
Fulton,0,16,17,18,19,21,10,0,17,34,0,27,32,20,26
Gallatin,0,3,3,7,1,2,10,0,3,5,0,9,6,4,8
Greene,12,11,5,5,7,11,17,0,10,16,0,11,10,6,24
Grundy,20,25,22,22,28,19,23,0,0,39,0,30,26,33,64
Hamilton,7,0,4,2,1,9,5,2,6,12,7,13,4,3,12
Hancock,12,12,3,9,9,15,8,3,12,12,0,11,13,12,20
Hardin,7,5,4,3,3,6,5,0,2,6,0,13,2,4,2
Henderson,4,3,3,1,5,4,3,0,4,8,0,6,2,3,4
Henry,27,18,23,20,17,26,25,0,23,43,0,29,36,24,48
ILLINOIS,4173,3958,3961,3510,4471,4510,4642,4853,5506,5734,5639,5532,6762,6768,13244
Iroquois,6,10,13,14,22,19,16,18,26,27,26,16,25,21,42
Jackson,25,24,14,25,24,25,22,0,31,28,0,36,25,25,42
Jasper,4,1,8,2,2,6,1,0,12,9,0,7,5,7,18
Jefferson,24,19,18,24,22,22,18,0,26,35,0,36,31,28,26
Jersey,0,10,12,11,10,15,9,0,13,22,0,13,12,13,30
Jo Daviess,0,11,6,14,9,9,14,17,21,8,9,8,13,12,32
Johnson,3,4,8,2,9,5,8,0,7,13,0,16,6,4,6
Kane,100,114,100,109,122,134,124,0,170,148,0,134,269,256,584
Kankakee,44,46,35,48,37,52,59,0,57,57,0,47,66,77,154
Kendall,29,24,17,18,27,30,20,0,51,30,0,31,51,36,90
Knox,36,23,31,15,21,32,21,0,27,66,0,59,27,39,60
LaSalle,56,73,73,61,48,57,62,0,59,85,0,70,64,62,126
Lake,183,160,189,120,171,158,211,0,223,227,0,228,267,246,474
Lawrence,13,10,9,11,11,9,13,0,5,11,0,13,10,12,26
Lee,13,20,17,16,15,12,25,0,18,32,0,20,20,36,34
Livingston,27,14,13,14,28,14,18,0,22,33,0,22,22,20,50
Logan,0,16,10,8,13,18,13,0,16,34,0,21,13,20,30
Macon,33,35,32,0,29,34,55,0,65,64,0,74,51,60,0
Macoupin,26,29,24,19,20,41,19,0,43,29,0,40,36,43,82
Madison,0,139,155,146,180,155,207,0,159,151,0,149,232,239,400
Marion,22,28,25,12,16,22,24,0,34,44,0,40,36,31,38
Marshall,0,6,4,4,0,5,10,0,1,4,0,10,9,13,18
Mason,7,9,15,5,10,10,9,0,4,16,0,16,8,11,24
Massac,9,11,9,12,9,10,7,0,13,19,0,20,13,14,24
McDonough,6,7,7,15,17,16,17,0,13,0,0,20,20,25,22
McHenry,80,87,89,80,102,87,114,0,131,108,0,115,106,127,298
McLean,54,61,53,22,75,44,61,0,59,71,0,100,54,60,136
Menard,5,9,4,5,5,3,6,0,14,9,0,0,0,0,10
Mercer,6,10,7,5,6,0,0,0,6,14,10,17,11,9,14
Monroe,0,9,13,16,11,16,21,0,0,8,24,23,13,27,34
Montgomery,16,21,12,13,19,21,20,0,20,27,0,24,29,32,50
Morgan,0,18,22,20,25,27,15,23,18,18,29,31,16,15,42
Moultrie,0,7,7,8,9,8,5,0,8,16,0,11,7,7,20
Ogle,18,22,25,13,29,24,29,0,26,44,0,41,29,17,38
Peoria,66,74,65,50,81,81,92,0,90,118,0,106,96,97,220
Perry,14,4,9,9,9,10,15,0,16,14,0,16,8,12,24
Piatt,9,8,7,5,3,12,13,5,10,13,14,15,5,6,14
Pike,7,10,10,11,12,7,9,12,11,25,9,14,8,13,24
Pope,3,1,3,1,6,2,2,0,3,6,0,2,3,2,18
Pulaski,3,2,3,1,6,2,2,0,2,5,0,1,6,6,8
Putnam,7,2,3,3,2,4,1,0,4,6,0,5,3,5,6
Randolph,12,19,21,36,29,33,24,0,24,26,0,25,22,23,48
Richland,13,12,5,6,10,6,16,0,12,16,0,18,11,17,36
Rock Island,0,51,48,44,62,64,53,0,57,104,0,99,64,78,166
Saline,12,10,15,10,20,22,15,20,17,38,31,32,16,16,22
Sangamon,87,85,101,84,117,94,101,0,96,94,0,110,90,75,186
Schuyler,3,4,5,5,3,6,4,0,6,3,0,6,10,11,8
Scott,3,3,5,3,1,6,0,2,5,3,1,3,2,3,4
Shelby,15,13,7,7,13,10,10,0,8,10,0,8,13,10,40
St. Clair,110,112,93,105,149,143,142,0,129,168,0,175,194,210,362
Stark,1,4,6,6,2,1,2,5,1,4,0,4,1,6,8
Stephenson,19,18,20,22,15,28,21,0,33,34,0,31,32,31,60
Suburban Cook,0,566,609,509,0,656,694,0,910,0,0,817,1345,1394,2828
Tazewell,57,42,41,35,67,48,60,0,59,78,0,99,74,93,0
Union,8,8,9,9,5,10,11,0,11,0,0,14,13,19,16
