County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,196,179,183,205,187,0,0,0,0,0,0,0,0,0,0
Alexander,20,18,27,28,19,0,0,0,0,0,0,0,0,0,0
Bond,25,20,33,41,38,0,0,94,0,0,101,0,0,0,0
Boone,65,51,60,92,94,0,0,0,0,0,0,0,0,0,0
Brown,14,16,21,9,14,0,0,0,0,0,0,0,0,0,0
Bureau,69,55,66,80,66,0,0,0,0,0,0,0,0,0,0
Calhoun,0,6,1,14,8,0,0,0,0,0,0,0,0,0,0
Carroll,32,38,40,43,45,0,0,0,0,0,0,0,0,0,0
Cass,32,21,36,26,37,0,0,0,0,0,0,0,0,0,0
Champaign,274,296,263,330,254,0,0,0,0,0,0,0,0,0,0
Chicago,0,4141,4046,4479,4366,0,0,0,0,0,0,0,0,0,0
Christian,89,79,76,89,64,0,0,0,0,0,0,0,0,0,0
Clark,34,38,29,47,32,0,0,0,0,0,0,0,0,0,0
Clay,33,38,49,37,41,0,0,0,0,0,0,0,0,0,0
Clinton,75,56,74,73,67,0,0,130,0,0,98,0,0,0,0
Coles,91,80,101,106,102,0,0,0,0,0,0,0,0,0,0
Cook,8773,8434,8446,9294,13994,0,0,0,0,0,0,0,0,0,0
Crawford,40,48,45,46,40,0,0,0,0,0,0,0,0,0,0
Cumberland,21,28,21,34,23,0,0,165,0,167,173,0,0,0,0
DeKalb,138,158,158,168,172,0,0,0,0,0,0,0,0,0,0
DeWitt,41,53,32,28,34,0,0,0,0,0,0,0,0,0,0
Douglas,43,33,40,33,52,0,0,0,0,0,0,0,0,0,0
DuPage,1261,1285,1376,1604,0,0,0,0,0,0,0,0,0,0,0
Edgar,48,31,41,33,41,0,0,0,0,0,0,0,0,0,0
Edwards,15,17,21,11,14,0,0,81,0,0,63,0,0,0,0
Effingham,69,45,73,80,90,0,0,0,0,0,0,0,0,0,0
Fayette,43,35,44,41,47,0,0,0,0,0,0,0,0,0,0
Ford,46,48,51,71,50,0,0,0,0,0,0,0,0,0,0
Franklin,95,101,99,106,103,0,0,0,0,0,0,0,0,0,0
Fulton,0,123,113,128,126,0,0,0,0,0,0,0,0,0,0
Gallatin,0,11,9,16,8,0,0,0,0,0,0,0,0,0,0
Greene,27,37,27,35,36,0,0,0,0,0,0,0,0,0,0
Grundy,71,57,85,77,77,0,0,0,0,0,0,0,0,0,0
Hamilton,9,12,12,16,7,0,0,0,0,0,45,0,0,0,0
Hancock,39,40,32,35,32,0,0,13,0,0,0,0,0,0,0
Hardin,12,8,12,12,11,0,0,0,0,0,0,0,0,0,0
Henderson,16,9,9,10,12,0,0,0,0,0,0,0,0,0,0
Henry,85,113,124,136,127,0,0,0,0,0,0,0,0,0,0
ILLINOIS,21809,21341,21855,24330,23601,0,0,0,0,0,0,0,0,0,0
Iroquois,75,60,54,60,53,0,0,99,0,0,115,0,0,0,0
Jackson,87,80,109,111,106,0,0,0,0,0,0,0,0,0,0
Jasper,22,12,17,27,22,0,0,0,0,0,0,0,0,0,0
Jefferson,74,70,88,92,103,0,0,0,0,0,0,0,0,0,0
Jersey,0,36,36,49,39,0,0,0,0,0,0,0,0,0,0
Jo Daviess,0,43,47,46,47,0,0,25,0,0,33,0,0,0,0
Johnson,26,22,37,58,43,0,0,0,0,0,0,0,0,0,0
Kane,620,663,687,791,790,0,0,0,0,0,0,0,0,0,0
Kankakee,199,216,163,217,223,0,0,0,0,0,0,0,0,0,0
Kendall,89,106,116,123,145,0,0,0,0,0,0,0,0,0,0
Knox,157,118,135,169,157,0,0,0,0,0,0,0,0,0,0
LaSalle,267,230,253,274,281,0,0,0,0,0,0,0,0,0,0
Lake,878,881,932,1033,1026,0,0,0,0,0,0,0,0,0,0
Lawrence,39,61,46,57,44,0,0,0,0,0,0,0,0,0,0
Lee,69,77,66,96,84,0,0,0,0,0,0,0,0,0,0
Livingston,59,68,74,88,95,0,0,0,0,0,0,0,0,0,0
Logan,0,87,96,67,77,0,0,0,0,71,0,0,0,0,0
Macon,266,244,256,0,276,0,0,0,0,0,0,0,0,0,0
Macoupin,106,128,106,118,94,0,0,0,0,0,0,0,0,0,0
Madison,0,486,494,624,561,0,0,0,0,0,0,0,0,0,0
Marion,85,91,95,106,86,0,0,0,0,0,0,0,0,0,0
Marshall,0,33,30,35,0,0,0,0,0,0,0,0,0,0,0
Mason,37,30,45,49,39,0,0,0,0,0,0,0,0,0,0
Massac,41,43,54,55,55,0,0,0,0,0,0,0,0,0,0
McDonough,56,56,62,76,66,0,0,0,0,0,0,0,0,0,0
McHenry,398,350,439,457,431,0,0,0,0,0,0,0,0,0,0
McLean,223,253,210,263,263,0,0,0,0,0,0,0,0,0,0
Menard,34,25,35,31,33,186,167,0,0,0,0,0,0,0,0
Mercer,22,31,28,29,28,0,0,0,0,0,0,0,0,0,0
Monroe,0,72,63,69,61,0,0,0,0,0,0,0,0,0,0
Montgomery,68,67,64,70,61,0,0,0,0,0,0,0,0,0,0
Morgan,0,71,72,76,74,0,0,39,0,0,32,0,0,0,0
Moultrie,0,42,46,55,49,0,0,0,0,0,0,0,0,0,0
Ogle,95,85,89,98,109,0,0,0,0,0,0,0,0,0,0
Peoria,363,393,410,447,424,0,0,0,0,0,0,0,0,0,0
Perry,60,39,51,45,32,0,0,0,0,0,0,0,0,0,0
Piatt,47,41,37,40,33,0,0,0,0,0,0,0,0,0,0
Pike,56,58,50,58,50,0,0,14,0,0,6,0,0,0,0
Pope,11,4,13,16,10,0,0,0,0,0,0,0,0,0,0
Pulaski,20,10,18,19,23,0,0,0,0,0,0,0,0,0,0
Putnam,3,11,14,13,10,0,0,0,0,0,0,0,0,0,0
Randolph,86,82,81,78,64,0,0,0,0,0,0,0,0,0,0
Richland,53,35,57,56,45,0,0,0,0,0,0,0,0,0,0
Rock Island,0,309,285,351,375,0,0,0,0,0,0,0,0,0,0
Saline,76,65,66,82,62,0,0,496,0,0,441,0,0,0,0
