County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,22,16,26,28,30,32,44,41,34,48,49,36,62,41,122
Alexander,1,1,0,3,2,4,2,0,0,4,0,2,5,5,18
Bond,9,9,9,9,4,5,8,16,5,7,7,6,12,7,12
Boone,17,17,8,13,12,16,8,0,16,17,0,25,32,27,56
Brown,0,0,0,1,1,1,0,0,2,2,0,0,0,6,8
Bureau,18,11,15,11,9,8,18,0,18,8,0,14,25,23,50
Calhoun,0,2,1,0,2,2,2,0,2,4,0,8,2,1,12
Carroll,1,2,4,3,4,5,2,0,2,2,0,5,20,12,16
Cass,6,2,0,0,2,0,2,0,1,2,0,0,6,7,16
Champaign,51,51,50,62,61,38,34,0,55,74,0,77,57,59,208
Chicago,0,358,345,370,310,351,440,0,596,538,0,446,708,579,1246
Christian,9,14,10,18,26,11,7,0,19,8,0,12,24,25,62
Clark,5,9,15,5,12,7,11,0,10,8,0,6,15,13,20
Clay,4,2,1,1,3,5,2,0,6,4,0,3,13,11,18
Clinton,21,19,8,8,3,8,8,8,8,11,16,11,20,20,34
Coles,15,12,14,11,19,17,14,0,21,14,0,18,36,40,66
Cook,939,883,879,858,1428,937,1150,0,1429,2166,0,1219,1556,1317,2888
Crawford,5,7,9,8,10,5,15,9,10,11,11,4,9,12,38
Cumberland,2,1,3,2,5,2,2,7,3,3,3,0,9,13,10
DeKalb,31,35,33,30,20,28,29,0,24,0,0,36,32,41,86
DeWitt,14,10,9,9,12,7,7,0,19,11,0,21,18,8,24
Douglas,8,7,7,8,3,12,12,0,11,13,0,7,14,12,16
DuPage,226,218,217,216,0,180,224,0,306,254,0,263,260,216,546
Edgar,13,15,18,7,14,18,6,0,10,5,0,7,20,10,20
Edwards,0,0,1,0,1,0,1,0,1,0,1,1,4,2,4
Effingham,9,10,9,11,14,12,14,0,13,23,0,21,23,14,32
Fayette,9,7,12,13,8,0,0,0,9,11,0,16,16,13,18
Ford,11,18,11,17,15,11,6,0,27,20,0,5,9,9,22
Franklin,41,40,46,48,23,37,29,0,21,30,0,22,45,42,102
Fulton,0,17,18,12,8,7,4,0,22,26,0,31,36,37,76
