County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,38,16,15,21,21,16,13,18,16,21,20,15,20,23,56
Alexander,3,7,3,4,9,4,4,0,5,4,0,5,1,2,12
Bond,8,5,4,4,2,4,5,7,2,3,5,3,5,3,14
Boone,7,3,7,11,9,8,13,0,16,10,0,3,9,18,24
Brown,1,1,1,1,2,2,3,0,2,2,0,1,3,1,4
Bureau,10,12,3,7,11,12,19,0,18,15,0,13,4,6,4
Calhoun,0,2,0,1,0,3,2,0,2,2,0,0,2,4,12
Carroll,6,3,4,8,4,3,2,0,4,5,0,3,3,6,14
Cass,2,3,6,0,5,4,5,0,5,7,0,2,1,2,14
Champaign,27,28,22,25,25,24,31,0,21,23,0,29,33,32,112
Chicago,0,563,598,566,473,449,498,0,452,452,0,493,816,728,1478
Christian,15,11,9,9,3,7,7,0,6,14,0,11,8,10,10
Clark,2,5,7,4,1,6,3,0,10,4,0,3,8,5,14
Clay,3,8,3,1,9,16,24,0,12,14,0,7,4,4,4
Clinton,10,7,1,3,7,7,4,6,6,13,8,6,10,8,22
Coles,11,10,10,14,12,7,8,0,11,12,0,5,11,12,38
Cook,1091,1161,1102,1092,1371,913,1007,0,952,1450,0,1000,1476,1308,2726
Crawford,7,5,3,5,5,6,5,6,8,3,6,5,4,2,24
Cumberland,7,1,3,3,2,2,1,3,2,1,4,3,5,8,8
DeKalb,9,18,22,14,11,15,18,0,16,0,0,15,26,23,30
DeWitt,1,8,3,5,5,6,6,0,5,3,0,2,4,4,8
Douglas,11,7,4,1,6,3,8,0,1,8,0,3,4,6,6
DuPage,164,162,102,122,0,126,127,0,126,135,0,137,148,182,294
Edgar,4,6,2,5,9,6,6,0,13,6,0,9,7,7,6
Edwards,2,2,0,0,2,4,4,2,3,5,1,2,3,1,4
Effingham,4,5,13,13,11,7,5,0,6,6,0,7,19,15,44
Fayette,5,6,6,8,7,0,0,0,3,4,0,7,7,6,10
Ford,7,6,2,3,9,7,2,0,5,3,0,1,2,5,12
Franklin,13,19,29,28,14,21,19,0,21,5,0,12,26,22,70
Fulton,0,5,9,6,14,10,12,0,8,11,0,7,14,12,28
Gallatin,0,3,2,0,1,5,1,0,2,2,0,6,2,0,2
Greene,8,5,7,6,2,2,7,0,2,1,0,4,3,5,18
Grundy,10,8,14,13,7,7,7,0,0,6,0,13,17,19,26
Hamilton,4,6,1,3,5,5,8,1,3,3,3,3,8,1,12
Hancock,11,7,3,1,3,5,7,3,9,4,0,5,6,10,14
Hardin,0,2,1,0,1,0,1,0,2,4,0,0,2,1,6
Henderson,2,0,1,5,1,1,1,0,3,0,0,1,7,5,2
Henry,18,12,7,14,13,10,6,0,14,13,0,4,16,12,28
ILLINOIS,2663,2688,2499,2658,2392,2445,2517,2543,2518,2566,2644,2548,3487,3388,7052
Iroquois,6,7,16,16,5,13,6,7,8,12,9,6,10,19,36
Jackson,9,17,16,9,11,15,14,0,19,13,0,13,10,17,28
Jasper,5,2,0,2,5,7,3,0,2,1,0,3,4,2,6
Jefferson,35,10,7,9,20,19,13,0,12,10,0,10,19,8,30
Jersey,0,4,10,17,1,4,5,0,6,8,0,9,11,17,26
Jo Daviess,0,7,0,2,4,2,2,4,2,5,7,3,4,7,10
Johnson,2,1,1,0,4,3,0,0,4,3,0,1,4,7,16
Kane,60,75,71,85,89,83,89,0,76,88,0,84,108,91,206
Kankakee,31,52,20,23,19,26,32,0,23,31,0,26,31,25,62
Kendall,4,18,12,11,8,14,12,0,9,15,0,19,16,16,52
Knox,24,5,17,23,9,20,11,0,8,10,0,16,20,19,32
LaSalle,38,22,19,36,19,23,16,0,26,27,0,29,40,33,46
Lake,78,92,105,138,94,101,99,0,127,97,0,131,161,150,284
Lawrence,4,6,7,12,4,7,6,0,5,7,0,7,3,5,8
Lee,7,6,3,4,5,11,9,0,8,8,0,11,4,7,16
Livingston,10,14,14,10,11,8,9,0,6,9,0,7,17,9,18
Logan,0,6,6,2,4,12,5,0,11,10,0,6,8,5,18
Macon,14,31,21,0,42,35,34,0,28,36,0,23,24,30,0
Macoupin,18,15,8,16,12,14,7,0,7,8,0,10,19,20,44
Madison,0,75,59,67,73,76,75,0,77,61,0,59,79,101,178
Marion,17,15,19,15,13,18,6,0,14,20,0,20,18,13,32
Marshall,0,2,1,3,0,7,5,0,4,4,0,1,3,3,2
Mason,5,2,4,4,4,3,4,0,2,9,0,4,6,8,8
Massac,3,6,6,6,6,7,8,0,8,11,0,2,6,9,20
McDonough,7,3,6,7,9,4,7,0,11,0,0,9,8,8,16
McHenry,38,27,43,41,48,43,43,0,39,38,0,33,69,60,152
McLean,22,13,25,29,16,15,15,0,17,18,0,25,33,34,96
Menard,5,1,3,3,1,1,3,0,3,4,0,0,0,0,6
Mercer,1,6,5,4,0,0,0,0,2,3,5,4,11,4,2
Monroe,0,3,2,5,7,4,7,0,0,9,8,7,9,17,22
Montgomery,13,12,11,11,5,2,10,0,13,8,0,7,9,7,18
Morgan,0,2,7,6,5,4,3,7,2,8,3,5,7,10,14
Moultrie,0,8,14,6,1,2,1,0,3,5,0,1,10,9,16
