County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,199,197,153,199,180,190,171,162,204,193,181,150,156,177,328
Alexander,27,38,28,29,26,22,30,0,32,21,0,20,18,21,36
Bond,43,43,52,35,39,44,36,51,52,48,38,49,67,52,106
Boone,95,80,71,83,84,96,101,0,71,95,0,96,94,113,230
Brown,18,15,14,11,13,13,7,0,10,13,0,12,15,16,24
Bureau,102,93,98,94,95,112,109,0,109,94,0,109,103,92,188
Calhoun,0,22,14,20,18,21,17,0,15,12,0,15,18,16,38
Carroll,49,46,46,41,34,46,56,0,61,44,0,45,56,55,116
Cass,47,54,34,34,24,35,56,0,50,38,0,37,37,36,40
Champaign,254,236,230,260,250,293,286,0,281,281,0,303,328,332,1088
Chicago,0,5251,5077,5008,5005,4927,4859,0,4927,4784,0,4847,5350,4974,10036
Christian,95,95,111,83,117,107,91,0,96,99,0,125,94,101,244
Clark,69,50,56,39,45,62,49,0,35,53,0,52,53,51,100
Clay,43,49,31,33,41,38,37,0,41,37,0,43,51,32,114
Clinton,83,90,64,97,109,106,84,109,99,111,88,106,114,99,214
Coles,138,119,132,135,136,114,127,0,124,125,0,117,125,106,242
Cook,10744,10339,10247,10114,15183,10042,10035,0,9948,15028,0,10083,10915,10259,20540
Crawford,61,64,60,49,45,54,63,73,70,53,58,51,61,45,114
Cumberland,21,27,30,26,23,19,23,25,23,29,20,26,27,29,60
DeKalb,160,157,161,143,174,152,144,0,142,0,0,164,181,180,362
DeWitt,39,47,37,40,39,41,47,0,46,48,0,54,60,63,98
Douglas,49,45,46,54,39,47,41,0,46,54,0,47,44,62,84
DuPage,1409,1275,1260,1304,0,1351,1375,0,1326,1388,0,1438,1513,1548,3102
Edgar,76,74,74,57,77,65,83,0,64,45,0,68,57,53,154
Edwards,32,22,18,22,19,22,20,17,19,24,22,28,25,17,38
Effingham,68,76,72,69,72,81,82,0,60,92,0,76,64,68,118
Fayette,52,45,41,41,41,0,0,0,57,47,0,52,50,44,92
Ford,51,42,48,41,38,50,54,0,41,54,0,37,49,55,104
Franklin,120,90,98,87,98,94,83,0,89,115,0,96,110,114,208
Fulton,0,115,111,82,105,94,106,0,109,99,0,117,115,106,210
Gallatin,0,26,31,16,21,18,24,0,21,23,0,17,20,24,46
Greene,51,38,39,39,26,29,46,0,35,37,0,35,41,36,86
Grundy,94,102,78,107,91,78,102,0,0,84,0,93,110,95,238
Hamilton,47,46,42,39,45,29,27,30,21,32,23,25,19,21,62
Hancock,59,59,50,46,43,58,62,47,50,56,0,55,65,53,112
Hardin,13,11,13,15,15,26,15,0,19,18,0,12,16,20,22
Henderson,22,25,23,17,26,27,18,0,25,16,0,28,26,25,42
Henry,141,135,137,109,140,117,119,0,143,137,0,146,183,139,264
ILLINOIS,25979,24891,24868,24607,24670,24843,25020,25653,25017,25393,25747,25655,27466,26282,53582
Iroquois,92,96,101,97,114,73,101,90,100,93,101,91,98,89,220
Jackson,108,95,108,109,123,117,107,0,107,113,0,113,137,135,262
Jasper,28,30,25,29,26,23,30,0,23,34,0,26,18,26,54
Jefferson,106,96,87,95,72,91,85,0,96,121,0,102,118,108,226
Jersey,0,61,67,73,69,81,50,0,69,73,0,82,77,55,140
Jo Daviess,0,59,54,46,54,57,69,57,56,63,57,60,76,55,130
Johnson,27,25,15,21,18,28,20,0,27,29,0,27,30,24,74
Kane,597,606,597,529,578,566,619,0,675,679,0,695,782,725,1510
Kankakee,305,258,258,271,228,270,272,0,305,273,0,333,370,346,660
Kendall,83,95,98,104,95,82,120,0,102,113,0,124,147,144,266
Knox,148,182,171,153,152,151,153,0,169,166,0,161,172,158,322
LaSalle,348,348,342,361,323,341,361,0,287,317,0,302,326,293,676
