County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,14,17,10,16,12,13,20,37,30,28,26,17,23,9,22
Alexander,4,2,1,3,6,1,1,0,0,3,0,5,3,3,0
Bond,1,4,3,3,4,4,1,4,1,3,5,4,3,3,2
Boone,7,9,4,4,0,5,4,0,3,3,0,5,9,14,10
Brown,2,1,2,1,1,1,1,0,2,2,0,2,2,0,0
Bureau,2,3,3,4,5,5,4,0,12,8,0,6,10,8,12
Calhoun,0,1,1,1,0,1,1,0,0,1,0,1,2,1,0
Carroll,2,4,1,4,5,2,4,0,4,1,0,1,4,1,2
Cass,2,5,0,2,2,1,2,0,2,1,0,2,4,0,14
Champaign,16,28,16,20,27,17,16,0,30,18,0,23,27,18,88
Chicago,0,516,460,415,415,366,397,0,298,313,0,305,479,342,750
Christian,7,8,7,10,13,10,9,0,13,8,0,5,10,7,28
Clark,5,2,1,7,3,2,2,0,4,2,0,4,2,5,0
Clay,6,3,9,2,5,4,4,0,6,0,0,3,2,1,8
Clinton,6,10,5,9,6,8,9,8,5,8,9,10,7,6,12
Coles,6,10,7,2,2,6,6,0,9,8,0,6,16,8,18
Cook,1004,994,864,805,1033,657,770,0,621,929,0,572,1011,622,1528
Crawford,0,3,4,3,5,8,4,4,4,5,5,2,2,1,6
Cumberland,2,2,0,1,0,2,3,1,0,4,2,1,2,1,4
DeKalb,7,11,7,8,8,8,9,0,11,0,0,4,17,11,18
DeWitt,2,0,1,2,2,6,0,0,2,7,0,5,8,8,6
Douglas,0,1,2,4,2,2,7,0,3,4,0,4,4,3,16
DuPage,84,85,93,103,0,69,76,0,88,78,0,82,128,94,244
Edgar,0,2,5,5,1,2,3,0,1,2,0,2,2,8,2
Edwards,0,3,3,1,0,0,0,2,0,0,2,5,4,0,2
Effingham,1,1,4,9,4,12,5,0,7,5,0,8,11,2,14
Fayette,1,0,4,1,3,0,0,0,3,5,0,5,7,2,20
Ford,5,5,2,0,4,3,1,0,4,3,0,1,3,9,10
