County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,6,7,4,2,6,5,8,0,0,0,0,0,0,0,0
Alexander,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Bond,1,1,2,2,0,2,3,94,0,0,117,0,0,0,0
Boone,5,10,12,3,3,5,6,0,0,0,0,0,0,0,0
Brown,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Bureau,5,2,2,5,3,8,5,0,0,0,0,0,0,0,0
Calhoun,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0
Cass,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0
Champaign,7,7,8,12,16,18,21,0,0,0,0,0,0,0,0
Chicago,0,252,226,239,249,294,283,0,0,0,0,0,0,0,0
Christian,3,4,5,3,2,1,6,0,0,0,0,0,0,0,0
Clark,1,1,5,2,1,3,4,0,0,0,0,0,0,0,0
Clay,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
Clinton,4,2,2,4,0,1,2,169,0,0,110,0,0,0,0
Coles,5,5,7,3,7,7,3,0,0,0,0,0,0,0,0
Cook,477,464,449,451,693,528,551,0,0,0,0,0,0,0,0
Crawford,0,2,2,1,0,6,2,0,0,0,0,0,0,0,0
Cumberland,4,0,0,1,1,2,0,137,0,159,152,0,0,0,0
DeKalb,7,5,7,10,5,10,7,0,0,0,0,0,0,0,0
DeWitt,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0
Douglas,0,1,1,2,2,2,4,0,0,0,0,0,0,0,0
DuPage,55,64,59,60,0,49,58,0,0,0,0,0,0,0,0
Edgar,4,0,2,1,4,3,1,0,0,0,0,0,0,0,0
Edwards,1,1,2,1,1,0,2,98,0,0,74,0,0,0,0
Effingham,1,2,3,1,3,4,0,0,0,0,0,0,0,0,0
Fayette,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0
Ford,2,0,1,1,3,0,2,0,0,0,0,0,0,0,0
Franklin,8,4,3,6,6,6,6,0,0,0,0,0,0,0,0
Fulton,0,4,2,1,6,5,5,0,0,0,0,0,0,0,0
Gallatin,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0
Greene,3,2,0,0,1,0,2,0,0,0,0,0,0,0,0
Grundy,5,6,4,8,3,3,4,0,0,0,0,0,0,0,0
Hamilton,1,0,0,1,0,3,1,0,0,0,42,0,0,0,0
Hancock,2,0,1,0,1,1,0,11,0,0,0,0,0,0,0
Hardin,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Henderson,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Henry,2,2,7,5,5,5,5,0,0,0,0,0,0,0,0
ILLINOIS,1144,1111,1119,1121,1189,1279,1321,0,0,0,0,0,0,0,0
Iroquois,4,2,4,3,1,4,4,108,0,0,101,0,0,0,0
Jackson,5,7,3,6,7,4,5,0,0,0,0,0,0,0,0
Jasper,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Jefferson,3,5,8,3,9,5,3,0,0,0,0,0,0,0,0
Jersey,0,0,2,2,3,1,4,0,0,0,0,0,0,0,0
Jo Daviess,0,3,3,1,2,4,2,25,0,0,29,0,0,0,0
Johnson,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0
Kane,34,41,37,47,42,38,52,0,0,0,0,0,0,0,0
Kankakee,10,15,10,9,15,13,20,0,0,0,0,0,0,0,0
Kendall,4,4,6,8,3,13,11,0,0,0,0,0,0,0,0
Knox,2,0,10,4,6,10,8,0,0,0,0,0,0,0,0
LaSalle,20,15,19,15,24,17,22,0,0,0,0,0,0,0,0
Lake,54,45,55,45,55,67,62,0,0,0,0,0,0,0,0
Lawrence,2,2,2,1,2,3,1,0,0,0,0,0,0,0,0
Lee,3,5,5,4,2,1,3,0,0,0,0,0,0,0,0
Livingston,4,1,4,5,5,1,5,0,0,0,0,0,0,0,0
Logan,0,2,2,1,2,3,5,0,0,74,0,0,0,0,0
Macon,5,4,12,0,9,18,14,0,0,0,0,0,0,0,0
Macoupin,7,7,4,4,5,6,2,0,0,0,0,0,0,0,0
Madison,0,44,21,31,21,28,31,0,0,0,0,0,0,0,0
Marion,4,2,3,5,5,11,8,0,0,0,0,0,0,0,0
Marshall,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0
Mason,0,3,2,4,2,0,4,0,0,0,0,0,0,0,0
Massac,2,1,1,0,2,4,3,0,0,0,0,0,0,0,0
McDonough,2,3,1,3,4,1,3,0,0,0,0,0,0,0,0
McHenry,32,23,26,29,35,29,32,0,0,0,0,0,0,0,0
McLean,21,8,16,16,14,10,13,0,0,0,0,0,0,0,0
Menard,0,2,0,1,2,2,1,0,0,0,0,0,0,0,0
Mercer,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0
Monroe,0,1,1,1,1,2,7,0,0,0,0,0,0,0,0
Montgomery,1,6,4,3,1,3,2,0,0,0,0,0,0,0,0
Morgan,0,4,1,7,3,9,6,50,0,0,52,0,0,0,0
Moultrie,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0
Ogle,2,3,4,2,5,8,9,0,0,0,0,0,0,0,0
Peoria,19,19,17,23,18,14,20,0,0,0,0,0,0,0,0
Perry,1,2,3,4,6,3,3,0,0,0,0,0,0,0,0
Piatt,3,2,1,0,3,1,2,0,0,0,0,0,0,0,0
Pike,4,1,4,5,0,2,0,14,0,0,13,0,0,0,0
Pope,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Pulaski,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Putnam,2,2,3,0,0,1,2,0,0,0,0,0,0,0,0
Randolph,1,3,2,3,6,3,3,0,0,0,0,0,0,0,0
Richland,2,2,1,2,2,2,1,0,0,0,0,0,0,0,0
Rock Island,0,12,19,13,23,13,20,0,0,0,0,0,0,0,0
Saline,7,7,5,0,3,8,4,444,0,0,461,0,0,0,0
Sangamon,35,22,33,21,29,21,17,0,0,0,0,0,0,0,0
Schuyler,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0
Scott,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
Shelby,3,2,2,4,0,1,1,0,0,0,0,0,0,0,0
St. Clair,23,19,29,29,25,22,15,0,0,0,0,0,0,0,0
Stark,0,0,1,0,1,0,3,119,0,0,0,0,0,0,0
Stephenson,4,6,5,5,5,5,7,0,0,0,0,0,0,0,0
Suburban Cook,0,212,223,212,0,234,268,0,0,0,0,0,0,0,0
Tazewell,9,12,12,11,8,16,14,0,0,59,0,0,0,0,0
Union,2,1,0,5,0,4,2,0,0,0,0,0,0,0,0
Vermilion,4,14,13,7,10,7,9,0,0,0,0,0,0,0,0
Wabash,0,5,3,1,0,2,0,0,0,0,0,0,0,0,0
Warren,2,0,2,0,3,3,3,0,0,0,0,0,0,0,0
Washington,2,1,1,0,4,3,0,0,0,0,0,0,0,0,0
Wayne,3,0,2,0,2,1,2,0,0,0,0,0,0,0,0
White,6,4,7,5,12,10,6,0,0,0,0,0,0,0,0
Will,8,72,49,56,67,79,79,0,0,0,0,0,0,0,0
