County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,157,149,151,167,156,166,164,159,123,170,162,191,141,184,312
Alexander,26,21,12,19,21,26,26,0,17,20,0,26,25,21,42
Bond,36,45,27,42,47,34,24,42,41,41,36,36,37,37,86
Boone,80,72,91,82,98,88,114,0,92,85,0,98,83,117,190
Brown,8,12,11,12,9,15,7,0,15,18,0,14,16,6,16
Bureau,95,94,86,85,74,91,75,0,87,95,0,99,91,86,168
Calhoun,0,12,12,8,17,12,14,0,9,14,0,20,13,16,22
Carroll,48,51,49,52,55,46,45,0,31,52,0,43,44,54,112
Cass,37,33,33,37,36,28,43,0,42,19,0,29,26,25,52
Champaign,257,275,260,273,273,251,287,0,278,310,0,265,280,305,848
Chicago,0,4431,4494,4333,4428,4536,4429,0,4432,4268,0,4175,4071,3946,7786
Christian,90,100,97,98,93,86,102,0,99,91,0,95,74,103,158
Clark,47,53,39,45,46,40,50,0,36,40,0,32,37,38,92
Clay,44,44,38,45,22,36,26,0,52,28,0,30,26,39,82
Clinton,85,91,72,72,69,86,74,63,74,61,79,71,67,60,154
Coles,130,88,117,83,125,128,106,0,107,75,0,99,110,91,214
Cook,9682,9466,9431,9221,14552,9493,9414,0,9394,14050,0,9001,8863,8720,16902
Crawford,59,58,48,43,52,57,50,47,49,47,51,47,52,54,78
Cumberland,33,26,28,39,30,27,34,20,25,34,20,18,23,30,38
DeKalb,127,160,147,157,161,149,164,0,183,0,0,176,171,172,354
DeWitt,45,54,36,42,39,42,47,0,39,36,0,45,42,40,70
Douglas,46,41,45,40,51,45,33,0,39,54,0,42,38,49,100
DuPage,1486,1482,1413,1469,0,1479,1465,0,1525,1468,0,1491,1525,1440,3014
Edgar,45,44,40,41,51,59,43,0,51,37,0,46,62,43,124
Edwards,16,14,25,21,15,17,20,15,10,17,11,16,22,20,40
Effingham,69,85,67,84,74,76,81,0,65,49,0,69,86,79,154
Fayette,50,42,51,45,55,0,0,0,53,56,0,55,44,47,98
Ford,40,44,47,27,40,43,46,0,45,38,0,34,40,43,58
Franklin,127,115,112,126,112,130,116,0,113,114,0,112,101,140,226
Fulton,0,108,100,102,103,86,108,0,87,97,0,111,120,93,198
Gallatin,0,20,17,18,19,17,14,0,15,22,0,15,13,18,36
Greene,39,45,38,28,34,43,30,0,45,28,0,30,30,46,70
Grundy,96,109,80,97,92,86,91,0,0,105,0,108,101,108,220
Hamilton,22,27,40,31,20,28,19,27,23,24,24,24,22,19,52
Hancock,46,42,52,39,60,52,53,45,47,40,0,42,41,37,88
Hardin,13,18,17,11,7,14,17,0,20,23,0,12,8,16,36
Henderson,17,17,23,16,24,25,25,0,19,22,0,14,15,23,42
Henry,116,129,152,117,107,145,108,0,117,104,0,119,125,113,254
ILLINOIS,24210,24159,24016,23852,24570,24490,24504,24713,24396,24147,23877,23875,24020,23613,47244
Iroquois,86,72,85,84,85,74,84,93,89,92,85,82,83,88,172
Jackson,117,107,104,94,105,94,104,0,81,104,0,89,114,111,202
Jasper,28,20,22,17,27,25,18,0,27,13,0,15,23,28,62
Jefferson,98,104,101,101,100,86,102,0,80,94,0,100,100,88,210
Jersey,0,43,56,51,57,57,52,0,48,44,0,63,60,56,122
Jo Daviess,0,55,62,60,68,65,74,58,55,76,53,63,57,61,146
Johnson,34,34,28,23,35,24,38,0,27,38,0,31,27,37,60
Kane,660,668,703,716,711,728,782,0,742,786,0,774,835,787,1578
Kankakee,236,234,264,232,263,237,248,0,288,272,0,239,242,257,436
Kendall,96,108,121,129,138,144,141,0,143,143,0,167,160,169,330
Knox,121,130,145,114,151,144,111,0,132,148,0,133,139,143,278
LaSalle,305,273,306,299,294,277,304,0,300,281,0,300,287,304,500
Lake,1030,1013,1013,1007,1139,1046,1039,0,1175,1165,0,1105,1113,1091,2330
Lawrence,30,36,43,40,37,29,40,0,49,31,0,45,32,41,58
Lee,98,109,73,83,88,93,92,0,93,96,0,103,95,72,168
Livingston,87,101,68,89,90,106,100,0,99,87,0,89,90,84,174
Logan,0,61,85,59,79,94,85,0,91,69,0,78,73,61,170
Macon,300,293,296,0,291,301,282,0,283,268,0,277,273,261,0
Macoupin,132,123,110,117,140,119,119,0,141,132,0,112,108,119,246
Madison,0,601,635,585,568,664,607,0,602,605,0,579,592,586,1306
Marion,109,107,138,134,89,132,90,0,103,125,0,99,116,109,232
Marshall,0,28,40,23,0,29,38,0,37,47,0,25,32,23,64
Mason,53,40,46,43,47,45,42,0,58,49,0,43,54,44,50
Massac,47,35,52,32,36,28,40,0,38,36,0,41,37,37,82
McDonough,69,70,61,66,57,70,54,0,67,0,0,57,67,43,124
McHenry,466,472,504,487,532,510,495,0,531,539,0,527,569,570,1204
McLean,260,245,288,244,258,261,268,0,246,273,0,269,260,284,556
Menard,29,30,26,22,38,44,29,0,32,28,0,0,0,0,80
Mercer,31,28,39,38,54,0,0,0,49,49,54,39,42,35,94
Monroe,0,57,63,75,54,57,62,0,0,56,56,69,76,63,144
Montgomery,89,86,88,88,82,84,87,0,87,79,0,73,72,82,180
Morgan,0,85,74,102,93,87,90,96,83,93,87,95,90,86,186
Moultrie,0,30,42,40,39,39,43,0,38,31,0,34,42,37,72
Ogle,98,96,119,120,117,110,126,0,124,123,0,121,137,110,252
Peoria,413,424,423,422,433,396,386,0,374,387,0,412,422,384,756
Perry,61,49,48,48,57,40,69,0,49,48,0,51,41,50,122
Piatt,40,35,29,42,36,45,47,33,49,32,33,34,40,42,70
Pike,45,42,43,44,43,45,38,52,45,41,41,54,57,43,66
Pope,15,3,16,15,7,17,12,0,14,16,0,13,13,12,32
Pulaski,14,10,28,19,20,11,19,0,18,14,0,24,11,13,34
Putnam,22,23,10,19,20,12,17,0,9,11,0,19,17,16,20
Randolph,79,98,62,81,71,77,81,0,92,69,0,70,85,86,154
Richland,42,47,43,44,42,39,45,0,49,31,0,35,42,44,90
Rock Island,0,327,339,346,336,346,364,0,328,333,0,320,341,323,602
Saline,86,69,75,61,69,61,82,84,64,88,68,63,75,61,130
Sangamon,389,459,398,440,435,451,471,0,403,426,0,434,428,427,814
Schuyler,17,20,19,24,29,23,23,0,23,24,0,9,12,23,34
Scott,12,9,14,13,11,14,13,17,14,18,16,15,12,11,32
Shelby,68,67,58,47,42,58,66,0,49,43,0,69,53,67,134
St. Clair,563,560,554,526,578,561,557,0,567,533,0,508,570,507,1038
