County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,26,25,26,32,31,22,32,29,16,24,18,12,22,19,40
Alexander,5,3,0,2,0,1,4,0,6,2,0,5,5,3,2
Bond,3,10,4,8,3,5,5,2,5,2,3,3,4,4,6
Boone,4,4,7,6,8,7,7,0,8,5,0,2,9,12,12
Brown,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0
Bureau,23,15,14,12,16,11,13,0,13,18,0,7,11,13,32
Calhoun,0,0,0,2,0,0,1,0,3,0,0,1,2,3,0
Carroll,9,1,4,3,2,7,2,0,3,3,0,1,3,2,6
Cass,6,6,4,4,5,1,4,0,1,5,0,3,4,2,2
Champaign,21,31,20,28,25,23,28,0,22,34,0,23,29,33,82
Chicago,0,497,433,472,470,430,435,0,430,436,0,422,499,461,1010
Christian,8,12,9,14,11,13,13,0,7,8,0,10,7,19,18
Clark,4,4,7,5,4,7,4,0,7,2,0,2,3,4,12
Clay,2,5,5,9,7,7,2,0,6,6,0,2,3,6,14
Clinton,6,8,6,3,8,5,10,15,12,9,8,8,9,7,16
Coles,17,15,8,13,10,9,9,0,11,15,0,8,13,9,26
Cook,1040,984,893,967,1378,917,949,0,899,1380,0,831,1051,976,2160
Crawford,10,10,4,9,2,1,3,8,5,6,2,5,11,3,12
Cumberland,4,2,0,2,3,3,2,3,3,2,9,5,4,3,2
DeKalb,10,6,14,14,15,10,21,0,7,0,0,20,8,14,44
DeWitt,2,3,2,3,6,6,5,0,2,2,0,9,2,4,2
Douglas,5,7,6,6,4,4,4,0,6,1,0,4,4,5,6
DuPage,160,125,101,152,0,174,137,0,115,124,0,100,146,150,346
Edgar,1,4,4,3,7,7,2,0,2,4,0,6,7,8,4
Edwards,4,0,3,1,2,2,1,2,4,3,2,2,2,2,8
Effingham,13,9,9,4,8,8,9,0,11,9,0,3,5,5,18
Fayette,2,11,10,7,3,0,0,0,5,7,0,8,4,6,18
Ford,8,5,3,7,2,2,2,0,2,2,0,4,4,6,10
Franklin,24,10,14,13,21,17,9,0,11,15,0,11,12,9,24
Fulton,0,12,4,14,13,12,20,0,7,12,0,11,10,14,24
Gallatin,0,2,2,5,2,3,0,0,2,4,0,1,4,2,10
Greene,9,5,3,2,4,4,4,0,6,7,0,6,3,2,12
Grundy,10,6,5,9,10,5,9,0,0,15,0,10,10,9,24
Hamilton,4,0,1,2,4,4,2,3,4,2,4,1,2,1,12
Hancock,6,4,3,6,6,3,5,5,7,5,0,4,7,12,14
Hardin,0,1,1,2,2,2,3,0,1,1,0,2,1,1,2
Henderson,2,2,1,4,2,3,0,0,1,1,0,0,1,3,4
Henry,11,9,6,15,15,21,16,0,13,14,0,8,9,14,20
ILLINOIS,2571,2412,2205,2394,2326,2441,2483,2343,2177,2402,2562,2106,2651,2648,5758
Iroquois,9,9,3,6,4,0,3,8,5,8,7,5,7,5,18
Jackson,11,6,8,13,12,11,4,0,14,11,0,11,15,15,24
Jasper,3,6,7,4,5,6,3,0,6,3,0,3,3,2,4
Jefferson,10,50,42,20,6,12,16,0,9,13,0,12,8,14,22
Jersey,0,1,5,2,2,2,4,0,11,5,0,11,12,14,8
Jo Daviess,0,4,6,8,3,3,7,5,4,1,3,1,3,6,16
Johnson,5,4,2,3,0,3,2,0,2,2,0,3,1,3,4
Kane,66,56,54,65,71,87,70,0,50,76,0,82,76,91,242
Kankakee,33,28,26,23,20,19,40,0,28,41,0,22,33,23,58
Kendall,10,10,8,7,6,11,9,0,8,11,0,13,15,26,58
Knox,10,15,28,32,20,26,14,0,16,17,0,14,14,8,48
LaSalle,19,31,25,30,40,34,27,0,25,38,0,24,22,13,42
Lake,82,100,94,90,82,95,94,0,74,74,0,81,119,125,294
Lawrence,8,4,6,8,6,5,4,0,7,4,0,5,7,3,8
Lee,12,6,3,7,6,4,5,0,3,9,0,4,11,8,24
Livingston,12,7,11,6,15,11,10,0,8,9,0,14,11,10,14
Logan,0,7,6,9,8,4,9,0,15,11,0,8,7,10,14
Macon,49,12,14,0,31,32,38,0,26,35,0,35,22,28,0
Macoupin,15,15,16,15,13,10,17,0,8,8,0,13,16,16,34
Madison,0,63,52,58,42,57,76,0,35,67,0,55,67,62,138
Marion,21,13,20,14,13,9,16,0,10,8,0,9,17,22,26
Marshall,0,0,0,2,0,6,7,0,10,6,0,6,0,3,10
Mason,3,3,4,5,3,2,2,0,2,4,0,3,4,2,12
Massac,14,2,2,6,3,3,5,0,4,4,0,5,8,5,6
McDonough,2,10,12,8,8,11,12,0,10,0,0,7,5,8,14
McHenry,27,41,27,33,32,50,39,0,21,31,0,20,49,58,114
McLean,20,20,20,21,29,19,15,0,13,23,0,9,21,26,58
Menard,2,7,4,2,4,3,3,0,2,4,0,0,0,0,6
Mercer,8,6,1,4,5,0,0,0,1,2,2,1,3,6,4
Monroe,0,2,8,4,6,1,4,0,0,7,11,6,8,6,20
Montgomery,7,16,15,12,12,14,13,0,9,7,0,12,10,7,12
Morgan,0,13,17,11,15,7,9,8,10,3,15,10,6,6,28
Moultrie,0,2,4,9,2,1,5,0,3,10,0,5,3,5,6
Ogle,13,10,3,1,13,8,13,0,6,2,0,3,15,15,32
Peoria,45,38,55,42,51,58,48,0,54,61,0,35,42,33,58
Perry,4,4,5,6,3,10,7,0,5,6,0,7,10,7,18
Piatt,2,4,4,2,4,7,2,6,2,4,5,1,1,2,6
Pike,6,3,6,9,8,6,4,4,3,7,2,3,3,4,6
Pope,1,0,1,1,2,1,0,0,0,3,0,1,2,3,4
Pulaski,4,5,0,2,1,2,4,0,3,2,0,0,3,6,2
Putnam,1,0,0,1,0,0,0,0,4,5,0,0,1,1,4
Randolph,8,10,8,8,5,9,7,0,10,7,0,6,2,5,20
Richland,10,4,5,4,9,9,15,0,9,8,0,11,12,6,10
Rock Island,0,22,35,35,34,43,39,0,34,41,0,28,35,40,80
Saline,13,10,8,6,6,15,17,16,15,16,13,19,14,10,18
Sangamon,49,46,29,35,29,49,39,0,32,48,0,48,31,44,100
Schuyler,2,4,2,0,0,2,2,0,2,6,0,5,0,1,2
Scott,0,2,6,2,1,2,3,1,1,4,2,1,3,0,4
Shelby,9,7,7,3,6,5,5,0,9,3,0,10,8,2,14
St. Clair,55,47,36,30,36,47,64,0,55,48,0,35,60,63,122
Stark,4,3,2,1,4,0,2,1,2,1,0,0,0,1,2
Stephenson,9,17,11,11,7,11,8,0,11,12,0,11,19,18,28
Suburban Cook,0,487,460,495,0,487,514,0,469,0,0,409,552,515,1150
Tazewell,34,34,29,41,33,49,31,0,42,34,0,30,30,34,0
Union,12,9,7,7,6,10,9,0,10,0,0,12,6,8,16
Vermilion,12,18,14,17,14,11,21,0,9,21,0,15,25,18,44
Wabash,0,2,4,4,4,3,4,0,1,0,0,3,5,9,18
Warren,4,5,4,4,3,1,4,0,2,2,0,4,2,3,18
Washington,4,2,4,2,2,2,3,0,1,4,0,4,3,4,8
Wayne,5,4,7,5,4,1,5,0,8,1,0,4,4,5,10
White,21,12,22,20,19,16,21,0,20,22,0,18,28,24,52
Will,33,112,88,91,93,103,114,0,99,109,17,11,25,35,338
Winnebago,67,40,42,43,51,56,54,0,28,45,55,39,86,84,168
