County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,14,10,6,8,6,4,9,0,0,0,0,0,0,0,0
Alexander,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Bond,0,0,3,3,0,1,2,398,0,0,479,0,0,0,0
Boone,5,7,3,2,8,11,3,0,0,0,0,0,0,0,0
Brown,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0
Bureau,6,4,9,3,4,5,3,0,0,0,0,0,0,0,0
Calhoun,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0
Carroll,1,0,3,5,3,3,3,0,0,0,0,0,0,0,0
Cass,2,0,1,0,5,1,3,0,0,0,0,0,0,0,0
Champaign,15,24,17,8,14,22,18,0,0,0,0,0,0,0,0
Chicago,0,187,171,160,194,206,201,0,0,0,0,0,0,0,0
Christian,2,4,3,5,9,2,10,0,0,0,0,0,0,0,0
Clark,1,1,2,5,2,5,4,0,0,0,0,0,0,0,0
Clay,5,2,2,2,4,3,2,0,0,0,0,0,0,0,0
Clinton,2,5,3,4,6,4,4,558,0,0,520,0,0,0,0
Coles,9,7,6,2,4,10,5,0,0,0,0,0,0,0,0
Cook,414,396,390,336,708,447,452,0,0,0,0,0,0,0,0
Crawford,3,3,3,1,3,3,0,0,0,0,0,0,0,0,0
Cumberland,4,1,0,3,1,1,1,701,0,759,753,0,0,0,0
DeKalb,6,12,2,5,7,8,13,0,0,0,0,0,0,0,0
DeWitt,2,2,0,0,2,1,3,0,0,0,0,0,0,0,0
Douglas,3,0,1,2,0,0,6,0,0,0,0,0,0,0,0
DuPage,70,68,93,73,0,88,78,0,0,0,0,0,0,0,0
Edgar,3,2,4,1,5,9,1,0,0,0,0,0,0,0,0
Edwards,0,0,3,0,0,1,4,405,0,0,397,0,0,0,0
Effingham,3,0,0,0,4,3,1,0,0,0,0,0,0,0,0
Fayette,2,2,5,4,2,0,0,0,0,0,0,0,0,0,0
