County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,843,788,721,815,771,797,786,832,773,814,871,786,877,936,1674
Alexander,111,111,91,105,99,97,109,0,101,96,0,111,114,104,192
Bond,156,168,181,177,161,173,160,192,183,174,162,178,200,220,386
Boone,365,316,325,364,393,378,413,0,407,431,0,395,488,502,1004
Brown,56,59,69,46,50,61,51,0,58,71,0,53,70,67,112
Bureau,397,357,382,376,336,417,380,0,447,387,0,432,476,447,850
Calhoun,0,60,49,53,56,58,52,0,50,51,0,62,68,69,174
Carroll,195,181,200,181,197,189,188,0,177,194,0,184,255,215,480
Cass,166,148,139,142,155,124,171,0,159,138,0,148,163,148,256
Champaign,1147,1186,1124,1209,1158,1244,1301,0,1311,1368,0,1390,1517,1643,4892
Chicago,0,19216,18598,18743,18911,18825,19003,0,19809,19742,0,19630,25769,22882,44216
Christian,388,386,409,404,426,377,408,0,415,408,0,449,481,501,894
Clark,211,214,204,198,187,205,223,0,178,185,0,204,228,235,434
Clay,182,198,175,176,173,175,146,0,181,155,0,156,194,182,380
Clinton,360,349,295,319,336,361,329,376,343,382,353,341,420,365,742
Coles,535,455,519,457,514,521,465,0,524,464,0,528,623,596,1176
Cook,40631,39146,38605,38871,59795,39427,39997,0,40891,62790,0,40771,52037,47077,91674
Crawford,235,252,223,214,211,245,227,242,255,225,217,194,235,238,554
Cumberland,122,115,116,130,109,104,114,125,109,127,111,111,133,157,250
DeKalb,630,679,662,667,703,678,714,0,700,0,0,745,897,894,1670
DeWitt,187,222,163,157,177,183,189,0,189,203,0,221,243,229,372
Douglas,211,175,177,188,197,210,205,0,181,232,0,184,226,247,478
DuPage,5878,5632,5643,5976,0,5964,6048,0,6339,6305,0,6397,7624,7004,14620
Edgar,244,231,242,192,251,261,226,0,227,228,0,246,287,278,508
Edwards,83,74,91,67,74,85,74,70,73,82,70,78,93,89,152
Effingham,300,308,332,341,365,358,347,0,303,363,0,370,445,430,782
Fayette,206,205,209,210,219,0,0,0,223,227,0,226,273,244,550
Ford,210,194,198,199,193,205,200,0,209,203,0,175,236,236,390
Franklin,558,520,547,544,535,561,532,0,519,515,0,531,614,643,1182
Fulton,0,470,437,462,451,408,470,0,479,467,0,499,547,514,1064
Gallatin,0,85,89,83,72,85,86,0,70,85,0,72,83,91,194
Greene,187,169,148,146,139,140,165,0,190,164,0,151,199,181,396
Grundy,371,374,361,412,382,346,414,0,0,429,0,451,544,527,1036
Hamilton,115,110,115,114,103,121,100,94,98,117,101,110,131,103,238
Hancock,213,200,176,191,199,220,227,168,220,222,0,202,274,238,454
Hardin,60,59,62,54,46,75,65,0,74,80,0,58,73,83,148
Henderson,84,75,75,79,93,81,89,0,86,88,0,87,107,109,166
Henry,508,525,567,515,508,531,495,0,561,522,0,538,689,600,1160
ILLINOIS,103069,99896,99624,101291,102433,103409,105296,106879,107041,109726,110012,108937,132701,125102,245954
Iroquois,388,346,380,387,379,353,371,394,406,386,404,364,443,418,904
Jackson,460,436,459,481,488,480,453,0,450,499,0,482,616,612,1134
Jasper,112,92,100,97,111,114,100,0,113,100,0,97,102,124,268
Jefferson,459,449,443,435,431,473,450,0,407,472,0,463,559,550,1012
Jersey,0,197,237,262,247,264,239,0,272,303,0,296,324,317,590
Jo Daviess,0,235,225,236,229,242,262,238,258,259,235,225,303,260,618
Johnson,120,127,119,123,128,120,121,0,121,149,0,129,164,176,324
Kane,2677,2743,2771,2867,2930,2942,3084,0,3165,3351,0,3322,4190,3908,7984
Kankakee,1104,1069,971,1037,1017,1096,1097,0,1180,1225,0,1141,1354,1378,2462
Kendall,393,442,473,484,517,517,572,0,560,561,0,643,768,782,1514
Knox,684,600,701,647,702,718,650,0,681,670,0,701,816,730,1484
LaSalle,1293,1198,1284,1318,1307,1230,1350,0,1296,1354,0,1329,1524,1435,2766
Lake,3960,3941,4047,4041,4345,4285,4455,0,4506,4693,0,4837,5738,5215,10866
Lawrence,196,231,200,221,206,173,197,0,214,194,0,187,213,197,372
Lee,352,377,317,363,332,371,380,0,365,392,0,402,458,420,830
Livingston,396,394,416,419,431,427,412,0,430,456,0,449,509,483,994
Logan,0,316,328,282,323,341,349,0,362,331,0,335,415,332,756
